Pradako ID,Authority,Standard,Title,Lifecycle,File,Authority Hub,Page Source,Previous Path
PRA-SPC-00097,ISO,ISO 13918:2017,Welding — Studs and ceramic ferrules for arc stud welding,Current-use reference,specifications/iso/iso-13918.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00098,ISO,ISO 3269:2019,Fasteners — Acceptance inspection,Current-use reference,specifications/iso/iso-3269.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00099,ISO,ISO 4042:2022,Fasteners — Electroplated coating systems,Current-use reference,specifications/iso/iso-4042.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00100,ISO,ISO 4759-1:2000,"Tolerances for fasteners — Part 1: Bolts, screws, studs and nuts — Product grades A, B and C",Current-use reference,specifications/iso/iso-4759-1.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00101,ISO,ISO 4759-3:2016,"Tolerances for fasteners — Part 3: Washers for bolts, screws and nuts — Product grades A, C and F",Current-use reference,specifications/iso/iso-4759-3.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00102,ISO,ISO 4762:2004,Hexagon socket head cap screws,Current-use reference,specifications/iso/iso-4762.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00103,ISO,ISO 6157-1:1988,"Fasteners — Surface discontinuities — Part 1: Bolts, screws and studs for general requirements",Current-use reference,specifications/iso/iso-6157-1.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00104,ISO,ISO 6157-2:1995,Fasteners — Surface discontinuities — Part 2: Nuts,Current-use reference,specifications/iso/iso-6157-2.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00105,ISO,ISO 6157-3:1988,"Fasteners — Surface discontinuities — Part 3: Bolts, screws and studs for special requirements",Current-use reference,specifications/iso/iso-6157-3.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00106,ISO,ISO 7089:2000,Plain washers — Normal series — Product grade A,Current-use reference,specifications/iso/iso-7089.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00107,ISO,ISO 7090:2000,"Plain washers, chamfered — Normal series — Product grade A",Current-use reference,specifications/iso/iso-7090.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00108,ISO,ISO 10683:2018,Fasteners — Non-electrolytically applied zinc flake coating systems,Current-use reference,specifications/iso/iso-10683.html,specifications/iso/iso-specifications.html,generated_from_master_record,
