Old Path,New Path,Pradako ID,Standard
specifications/astm/astm-a529/index.html,specifications/astm/astm-a529-a529m.html,PRA-SPC-00564,ASTM A529/A529M
specifications/astm/astm-a541/index.html,specifications/astm/astm-a541-a541m.html,PRA-SPC-00565,ASTM A541/A541M
specifications/astm/astm-a564/index.html,specifications/astm/astm-a564-a564m.html,PRA-SPC-00566,ASTM A564/A564M
specifications/astm/astm-a576/index.html,specifications/astm/astm-a576.html,PRA-SPC-00567,ASTM A576
specifications/astm/astm-a582/index.html,specifications/astm/astm-a582-a582m.html,PRA-SPC-00568,ASTM A582/A582M
specifications/astm/astm-a592/index.html,specifications/astm/astm-a592-a592m.html,PRA-SPC-00569,ASTM A592/A592M
specifications/astm/astm-a638/index.html,specifications/astm/astm-a638-a638m.html,PRA-SPC-00570,ASTM A638/A638M
specifications/astm/astm-a694/index.html,specifications/astm/astm-a694-a694m.html,PRA-SPC-00571,ASTM A694/A694M
specifications/astm/astm-a705/index.html,specifications/astm/astm-a705-a705m.html,PRA-SPC-00572,ASTM A705/A705M
specifications/astm/astm-a707/index.html,specifications/astm/astm-a707-a707m.html,PRA-SPC-00573,ASTM A707/A707M
specifications/astm/astm-a727/index.html,specifications/astm/astm-a727-a727m.html,PRA-SPC-00574,ASTM A727/A727M
specifications/astm/astm-a836/index.html,specifications/astm/astm-a836-a836m.html,PRA-SPC-00575,ASTM A836/A836M
specifications/astm/astm-a965/index.html,specifications/astm/astm-a965-a965m.html,PRA-SPC-00576,ASTM A965/A965M
specifications/astm/astm-b103/index.html,specifications/astm/astm-b103-b103m.html,PRA-SPC-00577,ASTM B103/B103M
specifications/astm/astm-b121/index.html,specifications/astm/astm-b121-b121m.html,PRA-SPC-00578,ASTM B121/B121M
specifications/astm/astm-b122/index.html,specifications/astm/astm-b122-b122m.html,PRA-SPC-00579,ASTM B122/B122M
specifications/astm/astm-b124/index.html,specifications/astm/astm-b124-b124m.html,PRA-SPC-00580,ASTM B124/B124M
specifications/astm/astm-b127/index.html,specifications/astm/astm-b127.html,PRA-SPC-00581,ASTM B127
specifications/astm/astm-b134/index.html,specifications/astm/astm-b134-b134m.html,PRA-SPC-00582,ASTM B134/B134M
specifications/astm/astm-b139/index.html,specifications/astm/astm-b139-b139m.html,PRA-SPC-00583,ASTM B139/B139M
specifications/astm/astm-b150/index.html,specifications/astm/astm-b150-b150m.html,PRA-SPC-00584,ASTM B150/B150M
specifications/astm/astm-b151/index.html,specifications/astm/astm-b151-b151m.html,PRA-SPC-00585,ASTM B151/B151M
specifications/astm/astm-b16/index.html,specifications/astm/astm-b16-b16m.html,PRA-SPC-00586,ASTM B16/B16M
specifications/astm/astm-b160/index.html,specifications/astm/astm-b160.html,PRA-SPC-00587,ASTM B160
specifications/astm/astm-b162/index.html,specifications/astm/astm-b162.html,PRA-SPC-00588,ASTM B162
specifications/astm/astm-b164/index.html,specifications/astm/astm-b164.html,PRA-SPC-00589,ASTM B164
specifications/astm/astm-b166/index.html,specifications/astm/astm-b166.html,PRA-SPC-00590,ASTM B166
specifications/astm/astm-b168/index.html,specifications/astm/astm-b168.html,PRA-SPC-00591,ASTM B168
specifications/astm/astm-b169/index.html,specifications/astm/astm-b169-b169m.html,PRA-SPC-00592,ASTM B169/B169M
specifications/astm/astm-b171/index.html,specifications/astm/astm-b171-b171m.html,PRA-SPC-00593,ASTM B171/B171M
specifications/astm/astm-b265/index.html,specifications/astm/astm-b265.html,PRA-SPC-00594,ASTM B265
specifications/astm/astm-b335/index.html,specifications/astm/astm-b335.html,PRA-SPC-00595,ASTM B335
specifications/astm/astm-b348/index.html,specifications/astm/astm-b348-b348m.html,PRA-SPC-00596,ASTM B348/B348M
specifications/astm/astm-b36/index.html,specifications/astm/astm-b36-b36m.html,PRA-SPC-00597,ASTM B36/B36M
specifications/astm/astm-b365/index.html,specifications/astm/astm-b365.html,PRA-SPC-00598,ASTM B365
specifications/astm/astm-b381/index.html,specifications/astm/astm-b381.html,PRA-SPC-00599,ASTM B381
specifications/astm/astm-b387/index.html,specifications/astm/astm-b387-b387m.html,PRA-SPC-00600,ASTM B387/B387M
specifications/astm/astm-b408/index.html,specifications/astm/astm-b408.html,PRA-SPC-00601,ASTM B408
specifications/astm/astm-b409/index.html,specifications/astm/astm-b409.html,PRA-SPC-00602,ASTM B409
specifications/astm/astm-b424/index.html,specifications/astm/astm-b424.html,PRA-SPC-00603,ASTM B424
specifications/astm/astm-b425/index.html,specifications/astm/astm-b425.html,PRA-SPC-00604,ASTM B425
specifications/astm/astm-b446/index.html,specifications/astm/astm-b446.html,PRA-SPC-00605,ASTM B446
specifications/astm/astm-b462/index.html,specifications/astm/astm-b462.html,PRA-SPC-00606,ASTM B462
specifications/astm/astm-b473/index.html,specifications/astm/astm-b473.html,PRA-SPC-00607,ASTM B473
specifications/astm/astm-b493/index.html,specifications/astm/astm-b493-b493m.html,PRA-SPC-00608,ASTM B493/B493M
specifications/astm/astm-b550/index.html,specifications/astm/astm-b550-b550m.html,PRA-SPC-00609,ASTM B550/B550M
specifications/astm/astm-b551/index.html,specifications/astm/astm-b551-b551m.html,PRA-SPC-00610,ASTM B551/B551M
specifications/astm/astm-b564/index.html,specifications/astm/astm-b564.html,PRA-SPC-00611,ASTM B564
specifications/astm/astm-b572/index.html,specifications/astm/astm-b572.html,PRA-SPC-00612,ASTM B572
specifications/astm/astm-b574/index.html,specifications/astm/astm-b574.html,PRA-SPC-00613,ASTM B574
specifications/astm/astm-b637/index.html,specifications/astm/astm-b637.html,PRA-SPC-00614,ASTM B637
specifications/astm/astm-b708/index.html,specifications/astm/astm-b708.html,PRA-SPC-00615,ASTM B708
specifications/astm/astm-b805/index.html,specifications/astm/astm-b805.html,PRA-SPC-00616,ASTM B805
specifications/astm/astm-b865/index.html,specifications/astm/astm-b865.html,PRA-SPC-00617,ASTM B865
specifications/astm/astm-b98/index.html,specifications/astm/astm-b98-b98m.html,PRA-SPC-00618,ASTM B98/B98M
specifications/bs/bs-3076/index.html,specifications/bs/bs-3076.html,PRA-SPC-00619,BS 3076:1989
specifications/din/din-17240/index.html,specifications/din/din-17240-1976-07.html,PRA-SPC-00620,DIN 17240:1976-07
specifications/astm/a183/index.html,specifications/astm/astm-a183.html,PRA-SPC-00621,ASTM A183
specifications/astm/f568m/index.html,specifications/astm/astm-f568m.html,PRA-SPC-00622,ASTM F568M
specifications/astm/f738m/index.html,specifications/astm/astm-f738m.html,PRA-SPC-00623,ASTM F738M
specifications/astm/f836m/index.html,specifications/astm/astm-f836m.html,PRA-SPC-00624,ASTM F836M
specifications/astm/f880m/index.html,specifications/astm/astm-f880m.html,PRA-SPC-00625,ASTM F880M
specifications/astm/a693/index.html,specifications/astm/astm-a693.html,PRA-SPC-00626,ASTM A693
specifications/astm/b96-b96m/index.html,specifications/astm/astm-b96-b96m.html,PRA-SPC-00627,ASTM B96/B96M
specifications/bs-en/1515-4-2021/index.html,specifications/bs-en/bs-en-1515-4.html,PRA-SPC-00628,BS EN 1515-4:2021
specifications/bs/4190-2014/index.html,specifications/bs/bs-4190.html,PRA-SPC-00629,BS 4190:2014
specifications/bs/3692-2014/index.html,specifications/bs/bs-3692.html,PRA-SPC-00630,BS 3692:2014
specifications/astm/a574m/index.html,specifications/astm/astm-a574m.html,PRA-SPC-00631,ASTM A574M
specifications/astm/f835m/index.html,specifications/astm/astm-f835m.html,PRA-SPC-00632,ASTM F835M
specifications/astm/f837m/index.html,specifications/astm/astm-f837m.html,PRA-SPC-00633,ASTM F837M
specifications/astm/f879m/index.html,specifications/astm/astm-f879m.html,PRA-SPC-00634,ASTM F879M
specifications/astm/a563m/index.html,specifications/astm/astm-a563m.html,PRA-SPC-00635,ASTM A563M
specifications/astm/b99-b99m/index.html,specifications/astm/astm-b99-b99m.html,PRA-SPC-00636,ASTM B99/B99M
specifications/astm/b927-b927m/index.html,specifications/astm/astm-b927-b927m.html,PRA-SPC-00637,ASTM B927/B927M
specifications/astm/a181-a181m/index.html,specifications/astm/astm-a181-a181m.html,PRA-SPC-00638,ASTM A181/A181M
specifications/astm/a266-a266m/index.html,specifications/astm/astm-a266-a266m.html,PRA-SPC-00639,ASTM A266/A266M
specifications/astm/a336-a336m/index.html,specifications/astm/astm-a336-a336m.html,PRA-SPC-00640,ASTM A336/A336M
specifications/astm/a1099-a1099m/index.html,specifications/astm/astm-a1099-a1099m.html,PRA-SPC-00641,ASTM A1099/A1099M
